ticket,sentiment
Can you tell me how to wrong item was delivered.,Neutral
I am really annoyed that payment was declined. Please fix this as soon as possible.,Negative
This has been a terrible experience because I do not recognize a transaction. This needs to be sorted out.,Negative
The support team was very helpful. money was deducted but the order failed. Thanks for making this easy.,Positive
I need information about package arrived late.,Neutral
"Thank you, everything was resolved quickly. checkout is not working. I really appreciate your help.",Positive
"Thank you, everything was resolved quickly. product quality is poor. I really appreciate your help.",Positive
I am very happy with the service. update my profile. Thank you for the excellent support.,Positive
Please provide details about product quality is poor.,Neutral
I have been waiting too long for app keeps crashing. Please fix this as soon as possible.,Negative
I need information about unlock my account.,Neutral
I am upset about checkout is not working. I have already waited long enough.,Negative
Can you help me with update my profile.,Neutral
I have been waiting too long for reset my password. I need this resolved immediately.,Negative
Everything is working perfectly now. reset my password. I really appreciate your help.,Positive
I need to know how to my card payment is still pending.,Neutral
I really appreciate the quick response. checkout is not working. This was handled very well.,Positive
This is very disappointing because update my profile. Please provide a solution quickly.,Negative
I really appreciate the quick response. product does not work. This was handled very well.,Positive
Please provide details about update my profile.,Neutral
I am extremely frustrated because I do not recognize a transaction. I have already waited long enough.,Negative
Everything is working perfectly now. product is damaged. Thank you for the excellent support.,Positive
I am very happy with the service. refund has not arrived. I am happy with the solution.,Positive
I would like to know about cancel my order.,Neutral
The issue was handled perfectly. app keeps crashing. I really appreciate your help.,Positive
I am upset about package arrived late. Please provide a solution quickly.,Negative
I have been waiting too long for payment was charged twice. I need this resolved immediately.,Negative
The issue was handled perfectly. my card payment is still pending. This was handled very well.,Positive
I would like help with payment was charged twice.,Neutral
I need information about I do not recognize a transaction.,Neutral
I would like help with unlock my account.,Neutral
I want to check I want to return an item.,Neutral
"Great support, my problem is fixed now. reset my password. I really appreciate your help.",Positive
Can you help me with checkout is not working.,Neutral
I am satisfied with how this was handled. the application is running slowly. Thanks for making this easy.,Positive
Could you tell me whether order confirmation.,Neutral
I would like to know about parcel has not arrived.,Neutral
I am extremely frustrated because app keeps crashing. Please fix this as soon as possible.,Negative
I need to know how to product is damaged.,Neutral
I am very dissatisfied with order the wrong item. Please fix this as soon as possible.,Negative
Can you tell me how to order was cancelled.,Neutral
I would like help with my card payment is still pending.,Neutral
Could you please explain product is damaged.,Neutral
I really appreciate the quick response. update my phone number. I really appreciate your help.,Positive
The service has been excellent. change my account details. This was handled very well.,Positive
Everything is working perfectly now. order confirmation. I really appreciate your help.,Positive
Please provide details about update my phone number.,Neutral
The support team was very helpful. package is delayed. I really appreciate your help.,Positive
This is very disappointing because money was deducted but the order failed. I need this resolved immediately.,Negative
I need information about checkout is not working.,Neutral
I really appreciate the quick response. login page is not working. Thank you for the excellent support.,Positive
This is unacceptable because page is freezing. Please fix this as soon as possible.,Negative
Could you please explain package arrived late.,Neutral
This is very disappointing because payment was charged twice. Please fix this as soon as possible.,Negative
I need to know how to money was deducted but the order failed.,Neutral
I need information about payment was declined.,Neutral
Thanks for resolving this so quickly. payment was charged twice. Thanks for making this easy.,Positive
This is unacceptable because parcel has not arrived. Please provide a solution quickly.,Negative
The support team was very helpful. product quality is poor. Thanks for making this easy.,Positive
I am unhappy with I want to return an item. I need this resolved immediately.,Negative
Can you tell me how to checkout is not working.,Neutral
I am extremely frustrated because the application is running slowly. I need this resolved immediately.,Negative
I want to check I do not recognize a transaction.,Neutral
I would like help with product quality is poor.,Neutral
Could you tell me whether login page is not working.,Neutral
The support team was very helpful. cancel my order. This was handled very well.,Positive
Please provide details about wrong item was delivered.,Neutral
The service has been excellent. order was cancelled. Thanks for making this easy.,Positive
Everything is working perfectly now. package arrived late. Thank you for the excellent support.,Positive
"Thank you, everything was resolved quickly. delivery date changed. This was handled very well.",Positive
Everything is working perfectly now. I do not recognize a transaction. I really appreciate your help.,Positive
I really appreciate the quick response. change my email address. I am happy with the solution.,Positive
I want to check cancel my order.,Neutral
This is very disappointing because change my account details. Please provide a solution quickly.,Negative
Thanks for resolving this so quickly. check my order status. Thank you for the excellent support.,Positive
The support team was very helpful. tracking information is not updating. Thanks for making this easy.,Positive
I want to check login page is not working.,Neutral
This is very disappointing because page is freezing. Please fix this as soon as possible.,Negative
Thanks for resolving this so quickly. product does not work. I am happy with the solution.,Positive
I am really annoyed that order was cancelled. Please provide a solution quickly.,Negative
Thanks for resolving this so quickly. the application is running slowly. Thank you for the excellent support.,Positive
Please provide details about package arrived late.,Neutral
I need information about order confirmation.,Neutral
I want to check parcel has not arrived.,Neutral
I am satisfied with how this was handled. wrong item was delivered. This was handled very well.,Positive
The support team was very helpful. product does not work. I am happy with the solution.,Positive
I am extremely frustrated because product is damaged. I have already waited long enough.,Negative
The support team was very helpful. page is freezing. I really appreciate your help.,Positive
Everything is working perfectly now. product is damaged. Thanks for making this easy.,Positive
Can you help me with page is freezing.,Neutral
Thanks for resolving this so quickly. the application is running slowly. I really appreciate your help.,Positive
The service has been excellent. change an order. I really appreciate your help.,Positive
Could you please explain reset my password.,Neutral
I really appreciate the quick response. checkout is not working. I am happy with the solution.,Positive
I really appreciate the quick response. login page is not working. This was handled very well.,Positive
The service has been excellent. change my email address. This was handled very well.,Positive
The support team was very helpful. update my phone number. I am happy with the solution.,Positive
Everything is working perfectly now. the application is running slowly. I really appreciate your help.,Positive
Could you please explain update my profile.,Neutral
Could you tell me whether cancel my order.,Neutral
I would like help with change an order.,Neutral
Thanks for resolving this so quickly. I do not recognize a transaction. I am happy with the solution.,Positive
I would like help with change my account details.,Neutral
I would like help with I want to return an item.,Neutral
This has been a terrible experience because the application is running slowly. I have already waited long enough.,Negative
The service has been excellent. update my profile. Thanks for making this easy.,Positive
The issue was handled perfectly. I want to return an item. I really appreciate your help.,Positive
I am really annoyed that I do not recognize a transaction. This needs to be sorted out.,Negative
This is very disappointing because update my profile. I need this resolved immediately.,Negative
I am upset about I want to return an item. Please provide a solution quickly.,Negative
