ticket,priority
"I would like to know, There is an unauthorized payment on my account Please help.",High
I need help because My money was taken without authorization I need assistance.,High
I need help because How can I change my email address?,Low
Can you help me? How do I change my account name? Please check this for me.,Low
"I would like to know, I want to update my phone number Can you help me?",Low
I need help because The tracking information has not updated,Medium
I need assistance because I cannot access my account after suspicious activity Please help.,High
Could you please help? The courier has not delivered my order I need assistance.,Medium
"Please help me, I see an unauthorized transaction Please help.",High
"I would like to know, How can I update my profile? Can you help me?",Low
I need assistance because The courier has not delivered my order Please check this for me.,Medium
"I would like to know, Someone accessed my account Can you resolve this?",High
I am facing an issue where My order is taking longer than expected Please check this for me.,Medium
"Please help me, I see an unauthorized transaction Can you resolve this?",High
Can you help me? How do I change my username? Can you help me?,Low
I need help because My account has been compromised Please help me with this issue.,High
"Please help me, I noticed a payment that I did not make I need assistance.",High
I need assistance because The courier has not delivered my order Can you resolve this?,Medium
Could you please help? How can I update my communication preferences? Please help.,Low
"I would like to know, How can I change my email address? I need assistance.",Low
I need assistance because I was charged twice for the same order Can you help me?,High
I am facing an issue where I noticed a payment that I did not make Please help.,High
Could you please help? There is an unauthorized payment on my account Can you check this?,High
"I would like to know, I noticed a payment that I did not make Please check this for me.",High
I am facing an issue where I was charged twice for the same order I need assistance.,High
How can I change my email address? Please help me with this issue.,Low
I need assistance because I found an unknown transaction on my account I need assistance.,High
Could you please help? My account is completely locked What should I do?,High
"Please help me, Someone accessed my account I need assistance.",High
"Please help me, I see an unauthorized transaction Please help me with this issue.",High
Can you help me? My card was charged for a purchase I did not make Can you resolve this?,High
"Please help me, Why is my delivery taking so long? Can you resolve this?",Medium
"Please help me, There is suspicious activity on my account Can you resolve this?",High
I am facing an issue where I believe my account has been hacked Can you resolve this?,High
I need help because Can I change my notification settings? Please check this for me.,Low
"I would like to know, Can I change the address on my account? Can you resolve this?",Low
Can you help me? Can I change my notification settings? Please check this for me.,Low
Can someone help me? Can I change my notification settings? Please check this for me.,Low
My card was charged but I did not make this purchase What should I do?,High
"Please help me, I want to update my phone number",Low
Can you help me? I see an unauthorized transaction,High
Can someone help me? Where can I update my phone number? Please look into this.,Low
I am facing an issue where My money was taken without authorization Can you help me?,High
Can you help me? When will my order arrive? I need assistance.,Medium
Can you help me? I see an unauthorized transaction Please look into this.,High
Could you please help? How do I change my account name? Please help.,Low
I need assistance because How can I update my profile? Please look into this.,Low
Could you please help? How do I update my preferences? Please help me with this issue.,Low
Can you help me? My package is still in transit Please look into this.,Medium
I need help because My order is taking longer than expected Please look into this.,Medium
I need help because Where can I see my order status? Please check this for me.,Medium
Can you help me? My delivery date has passed What should I do?,Medium
I see an unauthorized transaction Can you resolve this?,High
Could you please help? My account has been compromised Please look into this.,High
I am facing an issue where The tracking information has not updated Please help me with this issue.,Medium
I need assistance because The tracking information has not updated Please help.,Medium
I need help because How do I change my delivery address? I need assistance.,Low
Could you please help? I want to update my phone number,Low
I am having a problem because Can I update my account details? Please check this for me.,Low
Could you please help? I am still waiting for my delivery Can you help me?,Medium
"Please help me, When will my order arrive? Please help me with this issue.",Medium
I need assistance because Where is my package? I need assistance.,Medium
Could you please help? How do I change my username? Can you check this?,Low
Can you help me? I want to update my phone number Please help.,Low
Can someone help me? My package has not arrived yet Can you resolve this?,Medium
Could you please help? How can I update my communication preferences? Please look into this.,Low
Could you please help? I want to change my account settings Can you help me?,Low
Could you please help? I was charged twice for the same order Can you help me?,High
Could you please help? Someone accessed my account Can you check this?,High
I need assistance because How do I change my username? Please look into this.,Low
"Please help me, How do I change my username? Please help me with this issue.",Low
"I would like to know, The tracking information has not updated What should I do?",Medium
"I would like to know, My order is delayed Can you help me?",Medium
"I would like to know, How can I update my profile? What should I do?",Low
The tracking status has not changed,Medium
Could you please help? There is an unauthorized payment on my account Can you help me?,High
Can someone help me? My order has not arrived yet,Medium
I need assistance because My order is taking longer than expected Can you help me?,Medium
"I would like to know, I want to modify my profile Please check this for me.",Low
"I would like to know, The tracking information has not updated Can you help me?",Medium
I am having a problem because Someone accessed my account Please look into this.,High
I am facing an issue where How can I update my communication preferences? Please help.,Low
How do I update my preferences? Please help me with this issue.,Low
Could you please help? The tracking status has not changed Please help me with this issue.,Medium
I am facing an issue where When will my order arrive? What should I do?,Medium
Can you help me? I want to modify my profile Please check this for me.,Low
I am having a problem because Where is my package? Please look into this.,Medium
Could you please help? The tracking status has not changed Please help.,Medium
