ticket,sentiment
My package arrived in perfect condition,Positive
I am happy that my refund was completed,Positive
Can I change the delivery address?,Neutral
My payment keeps getting declined,Negative
The subscription was activated successfully,Positive
The order process was easy and smooth,Positive
Where can I see my payment history?,Neutral
What are the system requirements?,Neutral
Part of my order was missing,Negative
How do I check whether my order was shipped?,Neutral
The delivery went perfectly,Positive
My card was charged but my order failed,Negative
My payment was completed successfully,Positive
My subscription benefits disappeared,Negative
When should my package arrive?,Neutral
The delivery experience was excellent,Positive
The delivery was fast and smooth,Positive
Everything is working properly now,Positive
Where can I find customer service information?,Neutral
How can I change my billing details?,Neutral
This experience has been terrible,Negative
What payment methods are available?,Neutral
I received exactly what I ordered,Positive
The login problem was fixed,Positive
I need information about delivery times,Neutral
The payment failed even though I have enough money,Negative
The payment was processed correctly,Positive
My order arrived in perfect condition,Positive
How can I check a refund request?,Neutral
The technical problem was fixed,Positive
The delivery date keeps getting postponed,Negative
How long does a refund normally take?,Neutral
I am unable to access my profile,Negative
My refund has not arrived yet,Negative
My account is working again,Positive
I would like to know my order status,Neutral
My package arrived damaged and I am unhappy,Negative
The website keeps freezing when I try to order,Negative
I am frustrated with the repeated failures,Negative
I received the wrong product,Negative
My subscription payment failed unexpectedly,Negative
I have not received the refund for my cancelled order,Negative
I successfully regained access to my account,Positive
The service has been very poor,Negative
I was charged even though I cancelled the order,Negative
My refund request has been delayed,Negative
The service exceeded my expectations,Positive
My purchase went smoothly,Positive
How can I change my email address?,Neutral
My refund arrived without any problem,Positive
Can you tell me the delivery status?,Neutral
How do I update my phone number?,Neutral
My card payment was successful,Positive
I paid for premium but cannot use it,Negative
My premium access is working again,Positive
I successfully cancelled my order,Positive
This problem is still unresolved,Negative
The app is extremely slow and keeps freezing,Negative
What are the conditions for a refund?,Neutral
I was charged twice and cannot get a refund,Negative
My order arrived without any delay,Positive
The refund for my cancelled order is still missing,Negative
I have been waiting too long for my delivery,Negative
How can I manage premium features?,Neutral
How do I reset my password?,Neutral
My premium features are not available,Negative
I am unhappy with how this was handled,Negative
Everything went smoothly with the cancellation,Positive
My account was blocked unexpectedly,Negative
How do I view my subscription history?,Neutral
How can I view my order history?,Neutral
I would like to check my transaction history,Neutral
The website is running normally again,Positive
I need help understanding my subscription,Neutral
Where can I find my tracking information?,Neutral
I can access my premium features now,Positive
My order cancellation did not work,Negative
Someone accessed my account without my permission,Negative
I am very dissatisfied with the service,Negative
The cancellation process was very easy,Positive
I want to know when my package will arrive,Neutral
How do I report a technical problem?,Neutral
My package is missing and tracking has not updated,Negative
What happens when I cancel an order?,Neutral
The website stops responding during checkout,Negative
Where can I find help?,Neutral
How can I contact customer support?,Neutral
My parcel has not arrived yet,Negative
My order has been stuck in transit,Negative
I cannot access my premium subscription,Negative
I want to know how to return a product,Neutral
How do I place an order?,Neutral
This issue has caused me a lot of trouble,Negative
I am satisfied with the service,Positive
I am not satisfied with the service,Negative
The item I received is defective,Negative
Can you provide technical support information?,Neutral
How can I view my transactions?,Neutral
The app is working perfectly now,Positive
My card was charged but the payment failed,Negative
Everything is working with my subscription,Positive
The payment page keeps failing,Negative
My subscription cancellation failed,Negative
Can I cancel my purchase?,Neutral
The problem was fixed without any trouble,Positive
My subscription is working perfectly,Positive
Where can I find my subscription details?,Neutral
I expected much better service,Negative
I want to know how to change my email,Neutral
I cancelled my subscription but was charged again,Negative
How long does order cancellation take?,Neutral
Customer support was very helpful,Positive
My delivery is late and nobody can tell me why,Negative
My cancellation request was processed quickly,Positive
I am happy with my subscription,Positive
What is the refund policy?,Neutral
I would like to know how refunds are processed,Neutral
I am happy with how the cancellation was handled,Positive
Where can I see my delivery details?,Neutral
The package was delivered on time,Positive
My account keeps rejecting my correct password,Negative
Where can I manage my account settings?,Neutral
Where can I edit my profile?,Neutral
What happens after I request a refund?,Neutral
Where can I check my subscription status?,Neutral
Thank you for the quick support,Positive
My payment failed and I cannot place my order,Negative
How can I view my transaction details?,Neutral
What are the available delivery options?,Neutral
The subscription problem was fixed,Positive
What is the cancellation process?,Neutral
Where can I find technical support?,Neutral
How do I return an item?,Neutral
How can I track my order?,Neutral
I am happy with how this was handled,Positive
My payment was processed without any problem,Positive
I would like information about account settings,Neutral
I need information about available payment methods,Neutral
How can I contact the support team?,Neutral
Someone changed my account details without permission,Negative
How do I update the application?,Neutral
I want to know what payment options are supported,Neutral
How can I upgrade my subscription?,Neutral
Where can I track my package?,Neutral
I am very happy with my purchase,Positive
My order arrived right on schedule,Positive
Can you explain the refund procedure?,Neutral
I have waited several days for customer support,Negative
My order is missing from my account,Negative
The system would not let me cancel my order,Negative
My subscription issue was resolved,Positive
Where can I find the help center?,Neutral
The app is working smoothly now,Positive
Can you explain how the service works?,Neutral
My profile update worked successfully,Positive
The support team provided excellent service,Positive
The refund process went smoothly,Positive
The subscription is active but I cannot access it,Negative
How do payments work?,Neutral
My package was supposed to arrive yesterday,Negative
Everything was perfect with my order,Positive
I need information about order changes,Neutral
I have been waiting for my refund for several days,Negative
I was charged after cancelling my subscription,Negative
The checkout system is completely unusable,Negative
How can I update my profile?,Neutral
Everything is fine with my account now,Positive
My subscription was cancelled successfully,Positive
How do I request a refund?,Neutral
I am still waiting for the money to be refunded,Negative
This service has been extremely frustrating,Negative
Thank you for solving my problem,Positive
I am very satisfied with the resolution,Positive
I am disappointed with my experience,Negative
My account was accessed by someone else,Negative
The product I received is excellent,Positive
What are the subscription options?,Neutral
My product arrived damaged,Negative
My refund was handled quickly,Positive
How do I manage my subscription?,Neutral
The payment worked perfectly,Positive
I cannot complete checkout because the website is broken,Negative
I received my order safely,Positive
The delivery arrived right on schedule,Positive
I need information about my refund,Neutral
I received my package without any problems,Positive
The technical issue has been completely resolved,Positive
How can I update my payment method?,Neutral
My transaction failed but I was still charged,Negative
I cannot complete my payment,Negative
My subscription stopped working,Negative
I would like to check my subscription details,Neutral
The password reset worked perfectly,Positive
I successfully completed my payment,Positive
I received the money from my refund,Positive
My refund was promised but I still have not received it,Negative
My refund was processed successfully,Positive
I am pleased with the product,Positive
The item arrived broken,Negative
I am pleased with the support,Positive
My order still has not arrived,Negative
Can I cancel an order before shipping?,Neutral
I cannot log into my account,Negative
The checkout problem was fixed,Positive
Where can I find troubleshooting instructions?,Neutral
I received my refund successfully,Positive
My transaction was completed successfully,Positive
What is the return process?,Neutral
My cancellation request was ignored,Negative
How do I change my subscription plan?,Neutral
Can I modify my order?,Neutral
My product arrived safely,Positive
My package has been delayed again,Negative
The payment system keeps rejecting my card,Negative
The website issue was resolved quickly,Positive
I lost access to my account,Negative
My package has been delayed for five days,Negative
I had a great experience,Positive
Where can I find my billing information?,Neutral
This is unacceptable,Negative
How can I troubleshoot the app?,Neutral
I really appreciate the help,Positive
The application is working without any problems,Positive
Where can I find refund information?,Neutral
I was charged the wrong amount,Negative
Everything went smoothly,Positive
How can I change my account name?,Neutral
The support response was not helpful,Negative
The cancellation was completed without any problem,Positive
My package arrived on time,Positive
I am unhappy with my purchase,Negative
The payment went through successfully,Positive
The refund was credited successfully,Positive
The issue was handled perfectly,Positive
What subscription plans are available?,Neutral
My account has been locked and I cannot access it,Negative
I cannot access the premium features I paid for,Negative
I received a damaged product,Negative
I can access my account now,Positive
The order cancellation worked perfectly,Positive
The payment issue was resolved quickly,Positive
My issue was resolved quickly,Positive
Can I use another payment method?,Neutral
The refund process is taking too long,Negative
I really appreciate the quick response,Positive
Where can I find my order number?,Neutral
I would like to know about the return policy,Neutral
My order was delivered successfully,Positive
My order was cancelled successfully,Positive
The app crashes whenever I try to make a payment,Negative
Where can I find the cancellation option?,Neutral
The experience was very disappointing,Negative
Where can I find more information?,Neutral
I cancelled my order but I was still charged,Negative
What support options are available?,Neutral
Can you provide information about my account?,Neutral
The website keeps showing an error,Negative
The delivery is several days late,Negative
My premium service is working perfectly,Positive
My problem has still not been resolved,Negative
The product I received is not what I ordered,Negative
The payment page is not loading,Negative
My package arrived earlier than expected,Positive
My refund is taking too long,Negative
Money was deducted but my order was not placed,Negative
Can I change my order details?,Neutral
Everything went smoothly with my refund,Positive
How do I cancel my order?,Neutral
My subscription payment was processed successfully,Positive
The website is working properly again,Positive
My cancellation request is still pending,Negative
The website keeps crashing,Negative
I want to know how to track my package,Neutral
Where can I check my previous payments?,Neutral
The support team solved my problem,Positive
I need instructions for resetting my password,Neutral
I need help updating my profile,Neutral
I was charged for a subscription I cancelled,Negative
My order was cancelled but my money was not returned,Negative
The order was handled very well,Positive
My cancellation request was handled quickly,Positive
I received the wrong item and need a replacement,Negative
I want to know how cancellation works,Neutral
The problem has been completely resolved,Positive
