ticket,resolution_time_hours
I am facing an issue where The payment page is not working Can you check this?,12.9
"Please help me, I was charged for my subscription Please help me.",8.6
I am facing an issue where A large unauthorized payment was made from my account Can you look into this?,18.5
I need help because I requested a refund for my purchase Can you look into this?,29.2
Can you help me with this? The website keeps freezing I need this resolved.,9.9
I need assistance because My account is locked and I cannot access it Please help me.,6.8
I have been waiting several days for my refund Can you look into this?,50.0
I am facing an issue where I need to update my profile information Can you look into this?,2.6
"Please help me, My entire order is missing Please resolve this issue.",30.4
I am having a problem because The website is completely unavailable I need this resolved.,24.5
I cannot place an order because the website crashes Please resolve this issue.,11.5
Can you help me with this? I forgot my password and cannot log in,4.8
I am having a problem because I need to cancel an order that has not shipped Please resolve this issue.,4.4
I need assistance because I cannot place an order because the website crashes Please help me.,12.8
I am having a problem because I was charged for my subscription I need this resolved.,5.5
Can you help me with this? I was charged after cancelling my subscription,10.4
I am facing an issue where The website is not loading properly Please resolve this issue.,6.5
I am facing an issue where I cannot access my paid subscription Can you look into this?,20.3
I am facing an issue where My order information is incorrect Can you check this?,9.5
A large unauthorized payment was made from my account Please help me.,29.0
My account is locked and I cannot access it Can you check this?,5.9
I am facing an issue where My payment failed,4.9
Can you help me with this? My order information is incorrect Please resolve this issue.,10.8
I am facing an issue where Where is my package? Can you look into this?,5.9
I am having a problem because Where is my package? Please help me.,6.7
I want to update my phone number I need this resolved.,2.5
I am facing an issue where My package is missing and the delivery shows completed,28.7
"Please help me, My package is missing and the delivery shows completed Can you check this?",26.1
I am having a problem because My package is missing and the delivery shows completed Please help me.,34.8
My account is locked and I cannot access it Please help me.,6.1
Can you help me with this? My account is locked and I cannot access it Can you look into this?,3.0
I need help because I want a refund for my order I need this resolved.,22.1
I need assistance because I want to cancel my subscription Can you check this?,2.4
Can you help me with this? I have been waiting several days for my refund Can you check this?,36.8
"Please help me, The website is completely unavailable Please help me.",26.6
How can I change my email address? Please help me.,1.8
I need assistance because I cannot access my paid subscription Can you check this?,10.8
My order is incomplete Can you check this?,18.7
I am having a problem because I want a refund for my order I need this resolved.,29.9
I am having a problem because Please cancel my recent purchase Please help me.,2.4
"Please help me, My package is missing and the delivery shows completed",31.1
I need help because There is an unknown transaction on my card Please resolve this issue.,16.0
I was charged for my subscription Can you check this?,8.3
My delivery is slightly delayed Please help me.,11.3
I am facing an issue where I want to cancel my subscription Can you check this?,2.1
"Please help me, My entire order is missing Please help me.",32.0
I forgot my password and cannot log in Please resolve this issue.,3.7
Can you help me with this? My refund amount is incorrect,52.7
I need assistance because The app keeps crashing when I try to use it Please resolve this issue.,11.8
I need help because The website is not loading properly,6.9
I need help because My payment failed but money was deducted Can you look into this?,12.3
"Please help me, My refund has not arrived yet Please help me.",39.0
I need assistance because My parcel has been delayed for several days I need this resolved.,16.0
I was charged twice for the same transaction,12.0
"Please help me, The app keeps crashing when I try to use it Please resolve this issue.",15.5
I need to update my profile information Please resolve this issue.,1.6
I need assistance because Where can I see my order status? I need this resolved.,7.0
I am having a problem because An item is missing from my order,22.7
My parcel has been delayed for several days I need this resolved.,12.8
I am having a problem because I have been waiting several days for my refund Can you look into this?,55.6
I am having a problem because I want to cancel my subscription I need this resolved.,3.4
My order information is incorrect Can you look into this?,7.6
Can you help me with this? I need to update my profile information Please resolve this issue.,1.1
A large unauthorized payment was made from my account,18.6
Can you help me with this? My entire order is missing Please resolve this issue.,29.0
I need help because Where can I see my order status? Please resolve this issue.,5.7
I need assistance because My card payment was declined,6.6
I need assistance because My refund amount is incorrect I need this resolved.,32.7
Can you help me with this? I want a refund for my order Please help me.,19.6
I am having a problem because Please cancel my recent purchase I need this resolved.,3.5
I am facing an issue where I have been waiting several days for my refund Please resolve this issue.,56.9
Can you help me with this? My card payment was declined I need this resolved.,5.7
My card payment was declined Can you check this?,4.3
Can you help me with this? There is an unknown transaction on my card Please resolve this issue.,19.6
I need help because I need to cancel an order that has not shipped Please help me.,4.1
