ticket,category,clean_ticket
Can you help me? When does my subscription expire? Please help me with this issue.,Subscription,
I am facing an issue where I want to cancel my subscription What should I do?,Subscription,
"Please help me, The refund was approved but I have not received it What should I do?",Refund,
Could you please help? Can I cancel my order? Please look into this.,Cancellation,
Can you help me? I am unable to sign in I need assistance.,Account Issue,
"Please help me, The app crashes whenever I open it What should I do?",Technical Issue,
I need help because Can I get a refund for this order? I need assistance.,Refund,
Could you please help? I want a refund Please help me with this issue.,Refund,
I am having trouble accessing my account Can you check this?,Account Issue,
I am facing an issue where My delivery is late Can you check this?,Delivery Issue,
I need assistance because Can I get a refund for this order? Can you check this?,Refund,
"Please help me, I no longer want this order I need assistance.",Cancellation,
Can you help me? There is a technical problem Please look into this.,Technical Issue,
I am facing an issue where Cancel my recent order Please help me with this issue.,Cancellation,
I am having a problem because When will my package be delivered? I need assistance.,Delivery Issue,
Could you please help? How can I stop automatic renewal?,Subscription,
"Please help me, When will I receive my refund? Please look into this.",Refund,
Can you help me? My transaction failed Please look into this.,Payment Issue,
I am facing an issue where I want to cancel before it is shipped Please look into this.,Cancellation,
I am having a problem because Please stop my order I need assistance.,Cancellation,
I am facing an issue where The app keeps crashing Can you check this?,Technical Issue,
Could you please help? The payment was successful but the order was cancelled,Payment Issue,
My account login is not working I need assistance.,Account Issue,
I need assistance because Cancel my recent order Please help.,Cancellation,
I am having a problem because How do I update my phone number? Can you resolve this?,Account Issue,
I am facing an issue where The checkout page is not loading,Technical Issue,
"Please help me, The payment was successful but the order was cancelled",Payment Issue,
Can you help me? Can you cancel my order? Please help.,Cancellation,
Why is my refund delayed? Please look into this.,Refund,
I need help because I received the wrong product Can you check this?,Order Issue,
I need assistance because My payment was deducted but the order was not placed,Payment Issue,
I need help because My UPI payment failed Please look into this.,Payment Issue,
Could you please help? The application is not responding What should I do?,Technical Issue,
Can you help me? I want to cancel before it is shipped Can you resolve this?,Cancellation,
"Please help me, I placed the order by mistake Please help.",Cancellation,
Can you help me? When will my package be delivered?,Delivery Issue,
I need assistance because There is a technical problem Please help.,Technical Issue,
I am having a problem because Please cancel this transaction Can you check this?,Cancellation,
Could you please help? Please cancel my purchase Can you check this?,Cancellation,
I am facing an issue where I need to cancel an order Please help me with this issue.,Cancellation,
Could you please help? I was charged twice for the same transaction,Payment Issue,
I need assistance because I was charged twice for the same transaction,Payment Issue,
I am having a problem because Please stop my order Please help me with this issue.,Cancellation,
My account login is not working What should I do?,Account Issue,
I am facing an issue where I was charged but my order still shows as unpaid,Payment Issue,
Can you help me? My order details are incorrect What should I do?,Order Issue,
I am having a problem because How can I manage my subscription? Please help.,Subscription,
I was charged twice for one order Please help.,Payment Issue,
Something is missing from my order I need assistance.,Order Issue,
I need assistance because I have been waiting for my order I need assistance.,Delivery Issue,
I am having a problem because Can I get a refund for this order? Please help.,Refund,
I need assistance because The item I received is not what I purchased Please help.,Order Issue,
Could you please help? The refund was approved but I have not received it Please look into this.,Refund,
I am facing an issue where How can I stop automatic renewal? Please look into this.,Subscription,
I need help because My order details are incorrect,Order Issue,
I am having a problem because How do I cancel a purchase? Please look into this.,Cancellation,
I am facing an issue where Can you tell me where my package is? Please help me with this issue.,Delivery Issue,
I am facing an issue where The tracking information has not updated Please help.,Delivery Issue,
I am having a problem because Where is my refund? Please help me with this issue.,Refund,
"Please help me, I need to cancel an order",Cancellation,
I need help because Can I cancel my order? Please help.,Cancellation,
"Please help me, My account login is not working What should I do?",Account Issue,
I am facing an issue where Why did my card payment fail? What should I do?,Payment Issue,
I am having a problem because I am unable to use the checkout page Please help.,Technical Issue,
"Please help me, I received the wrong product",Order Issue,
I am facing an issue where I was charged twice for one order Please help.,Payment Issue,
I need assistance because How can I manage my subscription? Can you check this?,Subscription,
I need assistance because The money was deducted from my account but the payment failed I need assistance.,Payment Issue,
I am having a problem because How can I reset my password? Can you check this?,Account Issue,
Can you help me? I received a damaged product What should I do?,Order Issue,
I am facing an issue where The payment keeps getting declined I need assistance.,Payment Issue,
I am facing an issue where Where is my package? Can you resolve this?,Delivery Issue,
I am facing an issue where Why is my payment pending? Can you check this?,Payment Issue,
I need help because I forgot my login details,Account Issue,
Could you please help? The product I received is different from what I ordered I need assistance.,Order Issue,
I am having a problem because The money was deducted from my account but the payment failed I need assistance.,Payment Issue,
"Please help me, Why is my refund delayed? Can you check this?",Refund,
I need help because My transaction failed Please look into this.,Payment Issue,
My order is showing the wrong item Please look into this.,Order Issue,
Could you please help? My shipment is stuck in transit Please help me with this issue.,Delivery Issue,
I am facing an issue where I forgot my password What should I do?,Account Issue,
Can you help me? I received a damaged product,Order Issue,
I need assistance because The app keeps crashing Please help.,Technical Issue,
How can I reset my password? Please look into this.,Account Issue,
I need assistance because I am unable to sign in,Account Issue,
I am having a problem because The app keeps crashing Please look into this.,Technical Issue,
I need assistance because The payment gateway is not working Please look into this.,Payment Issue,
"Please help me, Where is my package? I need assistance.",Delivery Issue,
I was charged for a subscription I cancelled Please look into this.,Subscription,
Can you help me? I made a payment but it is still showing as pending Can you check this?,Payment Issue,
I am unable to sign in Please help me with this issue.,Account Issue,
I need help because Please cancel my purchase Can you resolve this?,Cancellation,
I need assistance because The delivery date has passed What should I do?,Delivery Issue,
"Please help me, I want to cancel my order I need assistance.",Cancellation,
Can you help me? My UPI payment failed Can you resolve this?,Payment Issue,
I am having a problem because I am unable to use the checkout page Please help me with this issue.,Technical Issue,
I am facing an issue where The website keeps showing an error What should I do?,Technical Issue,
"Please help me, I need my money back What should I do?",Refund,
"Please help me, How can I request a refund?",Refund,
How can I stop automatic renewal? Please help.,Subscription,
Could you please help? Please stop my order Please look into this.,Cancellation,
"Please help me, I received the wrong size Please look into this.",Order Issue,
The product I received is damaged What should I do?,Order Issue,
I need assistance because The application is not responding What should I do?,Technical Issue,
"Please help me, How long does a refund take? Can you check this?",Refund,
I need help because The payment was successful but the order was cancelled Can you check this?,Payment Issue,
Can you help me? When will I receive my refund? What should I do?,Refund,
I am having a problem because How can I request a refund? I need assistance.,Refund,
I need assistance because I want to cancel before it is shipped What should I do?,Cancellation,
I am facing an issue where How long does a refund take?,Refund,
Could you please help? I am getting an error message I need assistance.,Technical Issue,
I am having a problem because There is a technical problem What should I do?,Technical Issue,
Can you help me? My subscription payment failed Can you check this?,Subscription,
Can you help me? I no longer want this order What should I do?,Cancellation,
Can you help me? My delivery is late What should I do?,Delivery Issue,
Can you help me? The app keeps crashing I need assistance.,Technical Issue,
"Please help me, The payment keeps getting declined Please help me with this issue.",Payment Issue,
I need help because The app keeps crashing Please help me with this issue.,Technical Issue,
"Please help me, I made a payment but it is still showing as pending Please help me with this issue.",Payment Issue,
I am having a problem because The money was deducted from my account but the payment failed Please help me with this issue.,Payment Issue,
"Please help me, The item I received is not what I purchased Please help.",Order Issue,
